Age,Travel Style,Monthly Income (USD),Preferred Activities 1,Preferred Activities 2,Preferred Activities 3,Preferred Travel Season,Preferred Mode of Transportation,Tech Savvy,Accommodation Type,Category
31.0,group,5449.0,Shopping,Cultural Highlights,Events,Fall,Van,High,Motel,Business & Work-Related
37.0,group,5951.0,Events,Urban Attractions,Shopping,Fall,PickMe,High,Motel,Business & Work-Related
46.0,group,4595.0,Cultural Highlights,Shopping,Events,Spring,Van,High,Hotel,Business & Work-Related
51.0,solo,7714.0,Shopping,Cultural Highlights,Events,Fall,PickMe,High,Motel,Business & Work-Related
36.0,group,4322.0,Events,Cultural Highlights,Shopping,Spring,PickMe,High,Hotel,Business & Work-Related
48.0,group,4783.0,Events,Cultural Highlights,Shopping,Fall,Van,High,Resort,Business & Work-Related
50.0,group,7244.0,Urban Attractions,Shopping,Cultural Highlights,Fall,Uber,High,Resort,Business & Work-Related
43.0,group,5808.0,Urban Attractions,Shopping,Events,Spring,Car,High,Resort,Business & Work-Related
52.0,group,7995.0,Shopping,Urban Attractions,Cultural Highlights,Winter,PickMe,High,Hotel,Business & Work-Related
41.0,group,4571.0,Cultural Highlights,Shopping,Urban Attractions,Fall,Van,High,Motel,Business & Work-Related
47.0,group,4279.0,Urban Attractions,Events,Cultural Highlights,Spring,Car,High,Resort,Business & Work-Related
35.0,group,5548.0,Urban Attractions,Events,Cultural Highlights,Fall,Van,High,Resort,Business & Work-Related
41.0,group,4581.0,Shopping,Urban Attractions,Events,Spring,PickMe,High,Motel,Business & Work-Related
43.0,group,4688.0,Urban Attractions,Events,Shopping,Spring,Van,High,Motel,Business & Work-Related
35.0,group,7249.0,Shopping,Urban Attractions,Cultural Highlights,Spring,PickMe,High,Hotel,Business & Work-Related
44.0,group,6432.0,Shopping,Cultural Highlights,Events,Spring,Car,High,Motel,Business & Work-Related
37.0,group,6288.0,Urban Attractions,Cultural Highlights,Events,Spring,Uber,High,Hotel,Business & Work-Related
37.0,solo,6415.0,Events,Cultural Highlights,Urban Attractions,Fall,PickMe,High,Hotel,Business & Work-Related
29.0,group,4486.0,Events,Shopping,Cultural Highlights,Spring,Car,High,Hotel,Business & Work-Related
39.0,group,4873.0,Shopping,Cultural Highlights,Events,Spring,Car,High,Motel,Business & Work-Related
54.0,solo,7939.0,Events,Cultural Highlights,Shopping,Summer,Uber,High,Motel,Business & Work-Related
37.0,solo,7461.0,Shopping,Urban Attractions,Cultural Highlights,Spring,Van,High,Motel,Business & Work-Related
38.0,group,5571.0,Shopping,Cultural Highlights,Urban Attractions,Fall,PickMe,High,Motel,Business & Work-Related
48.0,solo,6998.0,Urban Attractions,Events,Shopping,Spring,Car,High,Hotel,Business & Work-Related
48.0,group,6570.0,Events,Cultural Highlights,Shopping,Spring,Uber,High,Motel,Business & Work-Related
39.0,group,6664.0,Urban Attractions,Shopping,Cultural Highlights,Spring,PickMe,High,Resort,Business & Work-Related
29.0,group,3691.0,Shopping,Events,Cultural Highlights,Spring,Car,High,Resort,Business & Work-Related
45.0,group,5772.0,Cultural Highlights,Events,Urban Attractions,Spring,PickMe,High,Motel,Business & Work-Related
46.0,solo,6345.0,Cultural Highlights,Shopping,Events,Spring,Van,High,Hotel,Business & Work-Related
55.0,group,5216.0,Cultural Highlights,Events,Urban Attractions,Spring,PickMe,High,Resort,Business & Work-Related
42.0,solo,6554.0,Shopping,Cultural Highlights,Events,Fall,PickMe,High,Hotel,Business & Work-Related
41.0,solo,4802.0,Urban Attractions,Events,Cultural Highlights,Spring,Car,High,Motel,Business & Work-Related
40.0,group,4954.0,Events,Cultural Highlights,Shopping,Fall,Van,High,Resort,Business & Work-Related
48.0,solo,7429.0,Urban Attractions,Cultural Highlights,Events,Fall,Car,High,Motel,Business & Work-Related
45.0,group,4349.0,Urban Attractions,Cultural Highlights,Shopping,Spring,Uber,High,Motel,Business & Work-Related
50.0,solo,6324.0,Events,Shopping,Cultural Highlights,Fall,Van,High,Hotel,Business & Work-Related
31.0,solo,6088.0,Cultural Highlights,Events,Shopping,Spring,Van,High,Resort,Business & Work-Related
31.0,group,5604.0,Cultural Highlights,Events,Shopping,Spring,Uber,High,Resort,Business & Work-Related
45.0,solo,5428.0,Cultural Highlights,Shopping,Urban Attractions,Fall,Van,High,Resort,Business & Work-Related
43.0,group,6010.0,Shopping,Cultural Highlights,Urban Attractions,Spring,Van,High,Resort,Business & Work-Related
55.0,solo,6417.0,Events,Shopping,Cultural Highlights,Spring,Van,High,Motel,Business & Work-Related
41.0,group,4187.0,Events,Shopping,Cultural Highlights,Spring,PickMe,High,Motel,Business & Work-Related
28.0,group,5620.0,Cultural Highlights,Urban Attractions,Events,Fall,Car,High,Resort,Business & Work-Related
46.0,group,6750.0,Shopping,Events,Cultural Highlights,Fall,Uber,High,Hotel,Business & Work-Related
31.0,solo,6357.0,Shopping,Urban Attractions,Events,Summer,Uber,High,Motel,Business & Work-Related
51.0,solo,5326.0,Urban Attractions,Events,Cultural Highlights,Spring,PickMe,High,Motel,Business & Work-Related
25.0,group,5481.0,Shopping,Urban Attractions,Cultural Highlights,Spring,Car,High,Hotel,Business & Work-Related
41.0,group,6547.0,Shopping,Cultural Highlights,Events,Spring,Van,High,Hotel,Business & Work-Related
31.0,group,7116.0,Urban Attractions,Shopping,Events,Fall,PickMe,High,Hotel,Business & Work-Related
52.0,group,7510.0,Events,Cultural Highlights,Urban Attractions,Fall,Uber,High,Hotel,Business & Work-Related
53.0,group,6129.0,Urban Attractions,Cultural Highlights,Shopping,Fall,Car,High,Hotel,Business & Work-Related
46.0,solo,7111.0,Cultural Highlights,Events,Shopping,Fall,PickMe,High,Motel,Business & Work-Related
26.0,solo,5408.0,Shopping,Urban Attractions,Cultural Highlights,Fall,Van,High,Hotel,Business & Work-Related
37.0,solo,4741.0,Shopping,Events,Urban Attractions,Spring,PickMe,High,Hotel,Business & Work-Related
29.0,group,5471.0,Urban Attractions,Shopping,Events,Spring,PickMe,High,Resort,Business & Work-Related
41.0,group,6236.0,Urban Attractions,Shopping,Cultural Highlights,Spring,Van,High,Motel,Business & Work-Related
45.0,group,5430.0,Events,Urban Attractions,Shopping,Fall,Van,High,Hotel,Business & Work-Related
35.0,group,5649.0,Urban Attractions,Events,Shopping,Fall,PickMe,High,Resort,Business & Work-Related
34.0,solo,7367.0,Events,Cultural Highlights,Shopping,Spring,Van,High,Hotel,Business & Work-Related
40.0,group,5140.0,Shopping,Cultural Highlights,Urban Attractions,Fall,Uber,High,Hotel,Business & Work-Related
32.0,group,5114.0,Urban Attractions,Events,Shopping,Fall,Uber,High,Motel,Business & Work-Related
33.0,solo,6691.0,Cultural Highlights,Events,Urban Attractions,Fall,Uber,High,Resort,Business & Work-Related
45.0,group,4139.0,Cultural Highlights,Shopping,Urban Attractions,Fall,Uber,High,Motel,Business & Work-Related
30.0,solo,4717.0,Cultural Highlights,Shopping,Urban Attractions,Spring,PickMe,High,Resort,Business & Work-Related
28.0,group,5036.0,Shopping,Urban Attractions,Events,Spring,Car,High,Motel,Business & Work-Related
45.0,group,5963.0,Events,Cultural Highlights,Shopping,Fall,Van,High,Hotel,Business & Work-Related
54.0,solo,5471.0,Shopping,Cultural Highlights,Events,Spring,Uber,High,Motel,Business & Work-Related
25.0,group,4221.0,Shopping,Urban Attractions,Cultural Highlights,Spring,Car,High,Motel,Business & Work-Related
53.0,group,7809.0,Events,Shopping,Urban Attractions,Fall,PickMe,High,Resort,Business & Work-Related
38.0,group,7179.0,Shopping,Cultural Highlights,Urban Attractions,Fall,Car,High,Motel,Business & Work-Related
40.0,group,4042.0,Urban Attractions,Shopping,Cultural Highlights,Spring,Uber,High,Motel,Business & Work-Related
33.0,solo,5258.0,Cultural Highlights,Events,Urban Attractions,Fall,PickMe,High,Resort,Business & Work-Related
26.0,group,3931.0,Cultural Highlights,Shopping,Urban Attractions,Spring,Van,High,Resort,Business & Work-Related
29.0,group,5684.0,Urban Attractions,Shopping,Events,Spring,Uber,High,Resort,Business & Work-Related
43.0,group,4291.0,Cultural Highlights,Events,Shopping,Winter,Van,High,Hotel,Business & Work-Related
47.0,group,6328.0,Urban Attractions,Cultural Highlights,Shopping,Fall,Car,High,Resort,Business & Work-Related
43.0,group,6627.0,Shopping,Events,Cultural Highlights,Fall,PickMe,High,Resort,Business & Work-Related
49.0,group,5305.0,Cultural Highlights,Events,Urban Attractions,Fall,Uber,High,Hotel,Business & Work-Related
46.0,group,6896.0,Urban Attractions,Shopping,Events,Fall,Car,High,Hotel,Business & Work-Related
42.0,group,6232.0,Events,Urban Attractions,Shopping,Spring,PickMe,High,Resort,Business & Work-Related
50.0,group,5661.0,Shopping,Urban Attractions,Cultural Highlights,Fall,Van,High,Motel,Business & Work-Related
32.0,group,4103.0,Shopping,Urban Attractions,Events,Summer,Car,High,Motel,Business & Work-Related
46.0,group,6151.0,Cultural Highlights,Urban Attractions,Shopping,Fall,Uber,High,Resort,Business & Work-Related
42.0,solo,7489.0,Shopping,Cultural Highlights,Urban Attractions,Spring,Van,High,Resort,Business & Work-Related
50.0,group,5645.0,Cultural Highlights,Events,Urban Attractions,Spring,Van,High,Hotel,Business & Work-Related
34.0,group,4621.0,Shopping,Urban Attractions,Events,Spring,Car,High,Motel,Business & Work-Related
55.0,group,7739.0,Urban Attractions,Cultural Highlights,Events,Spring,PickMe,High,Resort,Business & Work-Related
31.0,solo,6025.0,Shopping,Cultural Highlights,Urban Attractions,Fall,Car,High,Hotel,Business & Work-Related
25.0,group,3946.0,Urban Attractions,Cultural Highlights,Events,Summer,Car,High,Hotel,Business & Work-Related
25.0,group,5538.0,Cultural Highlights,Events,Urban Attractions,Fall,Uber,High,Resort,Business & Work-Related
35.0,solo,5925.0,Shopping,Events,Cultural Highlights,Fall,Uber,High,Resort,Business & Work-Related
53.0,group,7818.0,Cultural Highlights,Events,Urban Attractions,Spring,Van,High,Hotel,Business & Work-Related
26.0,group,5027.0,Shopping,Urban Attractions,Events,Fall,Van,High,Resort,Business & Work-Related
45.0,group,5773.0,Urban Attractions,Events,Cultural Highlights,Spring,PickMe,High,Motel,Business & Work-Related
29.0,group,4870.0,Cultural Highlights,Events,Urban Attractions,Fall,Car,High,Hotel,Business & Work-Related
31.0,group,5971.0,Cultural Highlights,Events,Shopping,Spring,PickMe,High,Resort,Business & Work-Related
29.0,group,5591.0,Events,Shopping,Cultural Highlights,Fall,Van,High,Motel,Business & Work-Related
47.0,solo,4200.0,Urban Attractions,Shopping,Cultural Highlights,Spring,PickMe,High,Motel,Business & Work-Related
41.0,group,7461.0,Events,Cultural Highlights,Urban Attractions,Fall,PickMe,High,Hotel,Business & Work-Related
45.0,solo,5553.0,Urban Attractions,Shopping,Cultural Highlights,Spring,PickMe,High,Resort,Business & Work-Related
32.0,group,5807.0,Events,Shopping,Cultural Highlights,Spring,Car,High,Hotel,Business & Work-Related
30.0,group,5749.0,Events,Cultural Highlights,Shopping,Fall,Uber,High,Hotel,Business & Work-Related
30.0,group,5214.0,Urban Attractions,Shopping,Cultural Highlights,Spring,Van,High,Motel,Business & Work-Related
52.0,group,5384.0,Events,Urban Attractions,Cultural Highlights,Spring,Uber,High,Motel,Business & Work-Related
44.0,group,5607.0,Cultural Highlights,Shopping,Urban Attractions,Fall,Van,High,Motel,Business & Work-Related
28.0,group,4433.0,Shopping,Urban Attractions,Events,Spring,Uber,High,Motel,Business & Work-Related
54.0,group,6766.0,Cultural Highlights,Urban Attractions,Events,Spring,PickMe,High,Motel,Business & Work-Related
28.0,solo,3581.0,Urban Attractions,Cultural Highlights,Events,Spring,PickMe,High,Hotel,Business & Work-Related
34.0,group,4713.0,Cultural Highlights,Shopping,Events,Spring,Uber,High,Hotel,Business & Work-Related
40.0,group,6332.0,Urban Attractions,Events,Shopping,Spring,Car,High,Resort,Business & Work-Related
43.0,group,4030.0,Events,Shopping,Cultural Highlights,Spring,PickMe,High,Motel,Business & Work-Related
44.0,solo,4937.0,Cultural Highlights,Shopping,Events,Fall,Uber,High,Resort,Business & Work-Related
27.0,group,5273.0,Urban Attractions,Events,Cultural Highlights,Spring,Van,High,Hotel,Business & Work-Related
47.0,solo,7395.0,Shopping,Urban Attractions,Cultural Highlights,Summer,Van,High,Resort,Business & Work-Related
53.0,group,6446.0,Events,Shopping,Cultural Highlights,Spring,Uber,High,Resort,Business & Work-Related
37.0,solo,4234.0,Events,Urban Attractions,Cultural Highlights,Winter,Uber,High,Hotel,Business & Work-Related
48.0,solo,5131.0,Shopping,Urban Attractions,Cultural Highlights,Spring,Van,High,Hotel,Business & Work-Related
44.0,solo,6012.0,Events,Urban Attractions,Shopping,Winter,Uber,High,Resort,Business & Work-Related
42.0,solo,5763.0,Shopping,Urban Attractions,Cultural Highlights,Fall,Car,High,Motel,Business & Work-Related
48.0,group,5318.0,Urban Attractions,Cultural Highlights,Events,Spring,Uber,High,Hotel,Business & Work-Related
51.0,solo,6710.0,Events,Urban Attractions,Cultural Highlights,Spring,Van,High,Resort,Business & Work-Related
50.0,solo,5311.0,Shopping,Events,Urban Attractions,Spring,PickMe,High,Motel,Business & Work-Related
30.0,group,4118.0,Cultural Highlights,Urban Attractions,Events,Summer,Uber,High,Motel,Business & Work-Related
40.0,solo,4884.0,Shopping,Events,Urban Attractions,Spring,Car,High,Resort,Business & Work-Related
53.0,group,5176.0,Urban Attractions,Shopping,Cultural Highlights,Fall,Car,High,Resort,Business & Work-Related
29.0,group,4253.0,Events,Urban Attractions,Shopping,Fall,PickMe,High,Motel,Business & Work-Related
33.0,solo,4590.0,Shopping,Cultural Highlights,Events,Spring,Van,High,Hotel,Business & Work-Related
38.0,group,5792.0,Events,Urban Attractions,Cultural Highlights,Fall,Van,High,Motel,Business & Work-Related
52.0,group,6599.0,Events,Urban Attractions,Cultural Highlights,Spring,Car,High,Motel,Business & Work-Related
34.0,group,6550.0,Cultural Highlights,Urban Attractions,Shopping,Summer,Van,High,Hotel,Business & Work-Related
28.0,group,5872.0,Cultural Highlights,Urban Attractions,Events,Spring,Uber,High,Hotel,Business & Work-Related
25.0,group,4055.0,Cultural Highlights,Events,Urban Attractions,Fall,Van,High,Hotel,Business & Work-Related
50.0,group,5865.0,Cultural Highlights,Urban Attractions,Events,Fall,Car,High,Motel,Business & Work-Related
49.0,solo,6365.0,Events,Shopping,Cultural Highlights,Fall,Van,High,Hotel,Business & Work-Related
53.0,group,6457.0,Events,Shopping,Urban Attractions,Spring,Van,High,Resort,Business & Work-Related
51.0,group,7708.0,Urban Attractions,Cultural Highlights,Events,Fall,Uber,High,Hotel,Business & Work-Related
34.0,group,4971.0,Cultural Highlights,Shopping,Events,Fall,PickMe,High,Hotel,Business & Work-Related
49.0,group,6112.0,Cultural Highlights,Events,Urban Attractions,Fall,Uber,High,Resort,Business & Work-Related
52.0,solo,7617.0,Cultural Highlights,Urban Attractions,Events,Spring,Uber,High,Resort,Business & Work-Related
33.0,group,6559.0,Shopping,Events,Urban Attractions,Fall,PickMe,High,Motel,Business & Work-Related
50.0,group,6247.0,Events,Urban Attractions,Cultural Highlights,Fall,PickMe,High,Hotel,Business & Work-Related
32.0,group,4496.0,Cultural Highlights,Urban Attractions,Events,Fall,Van,High,Hotel,Business & Work-Related
26.0,solo,5993.0,Cultural Highlights,Shopping,Events,Winter,PickMe,High,Resort,Business & Work-Related
26.0,solo,5719.0,Urban Attractions,Shopping,Events,Fall,PickMe,High,Resort,Business & Work-Related
47.0,solo,5970.0,Events,Urban Attractions,Cultural Highlights,Fall,Uber,High,Motel,Business & Work-Related
55.0,solo,7987.0,Cultural Highlights,Urban Attractions,Events,Fall,Van,High,Resort,Business & Work-Related
27.0,solo,4411.0,Urban Attractions,Shopping,Events,Fall,PickMe,High,Hotel,Business & Work-Related
55.0,solo,7377.0,Shopping,Cultural Highlights,Events,Fall,Uber,High,Motel,Business & Work-Related
37.0,solo,4136.0,Events,Shopping,Cultural Highlights,Fall,PickMe,High,Hotel,Business & Work-Related
28.0,group,5524.0,Shopping,Cultural Highlights,Urban Attractions,Fall,PickMe,High,Hotel,Business & Work-Related
26.0,solo,4819.0,Shopping,Events,Cultural Highlights,Spring,PickMe,High,Resort,Business & Work-Related
29.0,group,4709.0,Shopping,Events,Cultural Highlights,Spring,Van,High,Resort,Business & Work-Related
51.0,solo,7563.0,Cultural Highlights,Events,Shopping,Fall,Car,High,Motel,Business & Work-Related
55.0,group,5234.0,Shopping,Events,Urban Attractions,Spring,Van,High,Resort,Business & Work-Related
49.0,group,6690.0,Cultural Highlights,Urban Attractions,Shopping,Fall,Car,High,Hotel,Business & Work-Related
46.0,group,4006.0,Shopping,Events,Urban Attractions,Fall,Uber,High,Resort,Business & Work-Related
30.0,group,3888.0,Shopping,Events,Cultural Highlights,Winter,PickMe,High,Hotel,Business & Work-Related
42.0,group,6734.0,Shopping,Urban Attractions,Events,Fall,PickMe,High,Resort,Business & Work-Related
37.0,group,4961.0,Cultural Highlights,Events,Urban Attractions,Fall,PickMe,High,Resort,Business & Work-Related
33.0,group,6575.0,Cultural Highlights,Events,Urban Attractions,Spring,Uber,High,Motel,Business & Work-Related
40.0,solo,6917.0,Shopping,Urban Attractions,Cultural Highlights,Fall,Uber,High,Motel,Business & Work-Related
33.0,group,6739.0,Shopping,Urban Attractions,Cultural Highlights,Fall,Car,High,Motel,Business & Work-Related
35.0,solo,6270.0,Cultural Highlights,Events,Shopping,Winter,Car,High,Motel,Business & Work-Related
30.0,solo,4388.0,Events,Cultural Highlights,Urban Attractions,Fall,Uber,High,Motel,Business & Work-Related
41.0,group,6754.0,Shopping,Events,Cultural Highlights,Spring,Van,High,Motel,Business & Work-Related
27.0,group,4101.0,Urban Attractions,Shopping,Cultural Highlights,Fall,Van,High,Resort,Business & Work-Related
27.0,group,4679.0,Shopping,Urban Attractions,Cultural Highlights,Fall,Uber,High,Motel,Business & Work-Related
45.0,group,4370.0,Cultural Highlights,Shopping,Urban Attractions,Spring,Van,High,Motel,Business & Work-Related
41.0,group,6233.0,Shopping,Events,Cultural Highlights,Fall,PickMe,High,Motel,Business & Work-Related
43.0,solo,4925.0,Shopping,Events,Cultural Highlights,Fall,Uber,High,Motel,Business & Work-Related
55.0,group,6595.0,Urban Attractions,Cultural Highlights,Events,Spring,Van,High,Motel,Business & Work-Related
28.0,solo,4225.0,Shopping,Urban Attractions,Events,Summer,PickMe,High,Resort,Business & Work-Related
51.0,group,6491.0,Events,Shopping,Cultural Highlights,Spring,PickMe,High,Hotel,Business & Work-Related
43.0,group,6569.0,Cultural Highlights,Shopping,Urban Attractions,Fall,Uber,High,Resort,Business & Work-Related
43.0,group,5091.0,Shopping,Events,Urban Attractions,Spring,Car,High,Resort,Business & Work-Related
52.0,group,7756.0,Events,Cultural Highlights,Shopping,Spring,Van,High,Hotel,Business & Work-Related
35.0,solo,6956.0,Shopping,Urban Attractions,Events,Fall,PickMe,High,Motel,Business & Work-Related
33.0,group,6053.0,Urban Attractions,Shopping,Cultural Highlights,Fall,Car,High,Motel,Business & Work-Related
47.0,group,4945.0,Urban Attractions,Shopping,Cultural Highlights,Fall,PickMe,High,Resort,Business & Work-Related
45.0,solo,7101.0,Events,Urban Attractions,Cultural Highlights,Spring,Van,High,Hotel,Business & Work-Related
32.0,group,4001.0,Events,Cultural Highlights,Shopping,Fall,Uber,High,Motel,Business & Work-Related
30.0,group,4293.0,Cultural Highlights,Events,Urban Attractions,Spring,PickMe,High,Motel,Business & Work-Related
41.0,group,4850.0,Shopping,Urban Attractions,Events,Spring,Uber,High,Hotel,Business & Work-Related
42.0,solo,6625.0,Urban Attractions,Events,Shopping,Fall,PickMe,High,Hotel,Business & Work-Related
33.0,group,4332.0,Events,Shopping,Cultural Highlights,Fall,Car,High,Resort,Business & Work-Related
44.0,group,4089.0,Cultural Highlights,Shopping,Urban Attractions,Spring,Van,High,Motel,Business & Work-Related
38.0,group,4994.0,Cultural Highlights,Events,Shopping,Fall,Van,High,Hotel,Business & Work-Related
50.0,group,6786.0,Cultural Highlights,Shopping,Urban Attractions,Fall,Uber,High,Resort,Business & Work-Related
26.0,solo,5273.0,Urban Attractions,Shopping,Events,Spring,Van,High,Hotel,Business & Work-Related
34.0,solo,4578.0,Cultural Highlights,Shopping,Urban Attractions,Fall,PickMe,High,Hotel,Business & Work-Related
37.0,solo,5516.0,Urban Attractions,Events,Cultural Highlights,Spring,Uber,High,Resort,Business & Work-Related
25.0,group,3859.0,Cultural Highlights,Urban Attractions,Shopping,Fall,PickMe,High,Resort,Business & Work-Related
50.0,solo,5521.0,Cultural Highlights,Urban Attractions,Shopping,Spring,Car,High,Resort,Business & Work-Related
43.0,solo,5283.0,Shopping,Cultural Highlights,Events,Fall,Uber,High,Motel,Business & Work-Related
28.0,group,5454.0,Shopping,Events,Urban Attractions,Fall,PickMe,High,Motel,Business & Work-Related
52.0,group,5695.0,Events,Urban Attractions,Cultural Highlights,Winter,Van,High,Resort,Business & Work-Related
53.0,solo,7429.0,Urban Attractions,Shopping,Cultural Highlights,Fall,Uber,High,Hotel,Business & Work-Related
44.0,group,4542.0,Cultural Highlights,Shopping,Events,Fall,Van,High,Resort,Business & Work-Related
38.0,group,4974.0,Shopping,Events,Cultural Highlights,Fall,Uber,High,Motel,Business & Work-Related
41.0,group,6419.0,Shopping,Events,Cultural Highlights,Spring,Van,High,Motel,Business & Work-Related
26.0,solo,4282.0,Shopping,Cultural Highlights,Urban Attractions,Fall,Car,High,Motel,Business & Work-Related
35.0,group,6800.0,Events,Urban Attractions,Cultural Highlights,Spring,Car,High,Resort,Business & Work-Related
55.0,group,6030.0,Urban Attractions,Cultural Highlights,Events,Fall,Car,High,Resort,Business & Work-Related
33.0,group,7019.0,Cultural Highlights,Urban Attractions,Shopping,Spring,Van,High,Resort,Business & Work-Related
27.0,solo,5395.0,Cultural Highlights,Shopping,Events,Spring,Car,High,Motel,Business & Work-Related
30.0,group,4738.0,Urban Attractions,Events,Cultural Highlights,Fall,Uber,High,Motel,Business & Work-Related
26.0,group,3605.0,Urban Attractions,Events,Shopping,Fall,Uber,High,Motel,Business & Work-Related
53.0,group,6227.0,Cultural Highlights,Shopping,Events,Fall,Van,High,Resort,Business & Work-Related
46.0,group,6319.0,Events,Shopping,Urban Attractions,Fall,Uber,High,Motel,Business & Work-Related
42.0,solo,4227.0,Events,Shopping,Cultural Highlights,Winter,Uber,High,Hotel,Business & Work-Related
36.0,group,6998.0,Events,Cultural Highlights,Shopping,Spring,PickMe,High,Resort,Business & Work-Related
50.0,group,4778.0,Urban Attractions,Shopping,Cultural Highlights,Fall,Van,High,Hotel,Business & Work-Related
27.0,group,3843.0,Shopping,Urban Attractions,Events,Fall,Van,High,Motel,Business & Work-Related
37.0,group,7140.0,Cultural Highlights,Urban Attractions,Shopping,Fall,Van,High,Motel,Business & Work-Related
42.0,group,4813.0,Urban Attractions,Shopping,Events,Spring,PickMe,High,Motel,Business & Work-Related
35.0,group,5598.0,Cultural Highlights,Urban Attractions,Events,Fall,Uber,High,Resort,Business & Work-Related
37.0,group,7273.0,Cultural Highlights,Shopping,Urban Attractions,Spring,PickMe,High,Motel,Business & Work-Related
39.0,solo,6630.0,Events,Shopping,Urban Attractions,Spring,PickMe,High,Motel,Business & Work-Related
51.0,solo,5958.0,Cultural Highlights,Shopping,Urban Attractions,Spring,Car,High,Motel,Business & Work-Related
42.0,group,5349.0,Shopping,Events,Cultural Highlights,Fall,PickMe,High,Hotel,Business & Work-Related
45.0,solo,5428.0,Shopping,Events,Urban Attractions,Fall,Van,High,Hotel,Business & Work-Related
36.0,group,5257.0,Cultural Highlights,Urban Attractions,Shopping,Spring,PickMe,High,Resort,Business & Work-Related
40.0,group,5656.0,Shopping,Events,Urban Attractions,Spring,Van,High,Motel,Business & Work-Related
38.0,group,4284.0,Urban Attractions,Events,Cultural Highlights,Fall,Car,High,Resort,Business & Work-Related
50.0,group,4665.0,Urban Attractions,Events,Shopping,Fall,PickMe,High,Motel,Business & Work-Related
51.0,solo,5468.0,Events,Shopping,Cultural Highlights,Spring,Van,High,Hotel,Business & Work-Related
30.0,solo,5396.0,Events,Shopping,Urban Attractions,Fall,PickMe,High,Motel,Business & Work-Related
49.0,group,6805.0,Events,Cultural Highlights,Shopping,Spring,PickMe,High,Motel,Business & Work-Related
45.0,group,4227.0,Shopping,Events,Cultural Highlights,Winter,Uber,High,Hotel,Business & Work-Related
45.0,solo,4424.0,Events,Cultural Highlights,Urban Attractions,Fall,Car,High,Motel,Business & Work-Related
33.0,solo,6454.0,Urban Attractions,Events,Shopping,Summer,PickMe,High,Resort,Business & Work-Related
43.0,solo,6628.0,Cultural Highlights,Shopping,Urban Attractions,Spring,Van,High,Motel,Business & Work-Related
32.0,group,7469.0,Events,Cultural Highlights,Urban Attractions,Winter,Van,High,Motel,Business & Work-Related
32.0,group,4316.0,Urban Attractions,Shopping,Cultural Highlights,Fall,Van,High,Hotel,Business & Work-Related
54.0,group,6491.0,Events,Urban Attractions,Shopping,Fall,Uber,High,Hotel,Business & Work-Related
43.0,solo,6829.0,Urban Attractions,Events,Cultural Highlights,Spring,Van,High,Motel,Business & Work-Related
36.0,group,5801.0,Events,Shopping,Cultural Highlights,Spring,Van,High,Resort,Business & Work-Related
31.0,group,5917.0,Events,Urban Attractions,Cultural Highlights,Fall,Uber,High,Hotel,Business & Work-Related
52.0,group,5160.0,Urban Attractions,Shopping,Cultural Highlights,Spring,PickMe,High,Motel,Business & Work-Related
50.0,group,6694.0,Shopping,Events,Cultural Highlights,Spring,Van,High,Motel,Business & Work-Related
42.0,group,6088.0,Events,Shopping,Cultural Highlights,Fall,Car,High,Motel,Business & Work-Related
36.0,group,4177.0,Urban Attractions,Shopping,Events,Fall,Van,High,Resort,Business & Work-Related
36.0,group,6017.0,Shopping,Events,Cultural Highlights,Spring,Car,High,Hotel,Business & Work-Related
52.0,group,6254.0,Cultural Highlights,Shopping,Events,Fall,PickMe,High,Resort,Business & Work-Related
40.0,group,4723.0,Cultural Highlights,Shopping,Events,Fall,Car,High,Hotel,Business & Work-Related
29.0,solo,5015.0,Shopping,Cultural Highlights,Urban Attractions,Summer,Car,High,Hotel,Business & Work-Related
26.0,group,4705.0,Cultural Highlights,Events,Urban Attractions,Summer,PickMe,High,Hotel,Business & Work-Related
40.0,group,7276.0,Cultural Highlights,Shopping,Events,Spring,PickMe,High,Motel,Business & Work-Related
41.0,group,6917.0,Events,Urban Attractions,Cultural Highlights,Spring,Van,High,Resort,Business & Work-Related
49.0,group,6359.0,Events,Shopping,Cultural Highlights,Fall,Car,High,Motel,Business & Work-Related
47.0,solo,5605.0,Cultural Highlights,Shopping,Events,Spring,Uber,High,Hotel,Business & Work-Related
29.0,solo,3611.0,Cultural Highlights,Urban Attractions,Shopping,Fall,Van,High,Motel,Business & Work-Related
33.0,group,6495.0,Urban Attractions,Cultural Highlights,Shopping,Spring,PickMe,High,Motel,Business & Work-Related
43.0,group,6271.0,Shopping,Events,Urban Attractions,Fall,Van,High,Motel,Business & Work-Related
35.0,group,5963.0,Events,Urban Attractions,Cultural Highlights,Fall,PickMe,High,Motel,Business & Work-Related
49.0,solo,4923.0,Shopping,Cultural Highlights,Urban Attractions,Fall,Uber,High,Hotel,Business & Work-Related
34.0,group,6356.0,Cultural Highlights,Events,Urban Attractions,Summer,Van,High,Hotel,Business & Work-Related
46.0,solo,6442.0,Events,Cultural Highlights,Urban Attractions,Spring,Van,High,Resort,Business & Work-Related
42.0,group,4558.0,Shopping,Events,Urban Attractions,Spring,PickMe,High,Resort,Business & Work-Related
35.0,solo,7442.0,Events,Cultural Highlights,Urban Attractions,Winter,Car,High,Hotel,Business & Work-Related
45.0,group,5341.0,Cultural Highlights,Urban Attractions,Shopping,Spring,Uber,High,Motel,Business & Work-Related
